ip,user_agent,request_count,crawled_rate_avg,Head_request_avg,url_anomaly_rate_avg,url_path_depth_avg,image_request_avg,code_request_avg,renderable_request_avg,video_requests_avg,font_request_avg,app_request_avg,4xx_avg,3xx_avg,response_length_bin_avg,response_time_bin_avg,response_length_avg,response_time_avg,response_length_bin_std,response_time_bin_std,is_bot
67.149.194.74,"Mozilla/5.0 (Linux; Android 5.1.1; LG-H960) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36",88,0.3732739256999672,0.0,0.02727272727272728,1.8522727272727273,0.2840909090909091,0.18181818181818182,0.045454545454545456,0.0,0.11363636363636363,0.0,0.0,0.0,1.0340909090909092,0.10227272727272728,30916.977272727272,787.3522727272727,1.1084716996305872,0.4022857887116733,0
67.149.2.122,"Mozilla/5.0 (Linux; Android 4.2.2; HUAWEI Y330-U01 Build/HuaweiY330-U01) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.114 Mobile Safari/537.36",45,0.013896642340901044,0.0,0.006666666666666666,2.2888888888888888,0.17777777777777778,0.1111111111111111,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,2.066666666666667,0.022222222222222223,32996.97777777778,20.533333333333335,0.33028912953790823,0.14907119849998596,0
67.149.2.27,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36",62,0.0071302546906961695,0.0,0.019354838709677424,1.8225806451612903,0.4032258064516129,0.12903225806451613,0.03225806451612903,0.0,0.06451612903225806,0.0,0.0,0.0,1.2741935483870968,0.12903225806451613,27902.935483870966,725.4677419354839,1.0584454242063066,0.42402717851888505,0
67.149.201.11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",125,0.4434790526084419,0.0,0.088,2.384,0.256,0.04,0.0,0.0,0.016,0.0,0.0,0.0,1.128,0.088,25108.6,129.536,0.9835419862464833,0.33639454561954574,0
67.149.201.85,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36",144,0.30898794149307535,0.0,0.020833333333333332,2.1180555555555554,0.3125,0.08333333333333333,0.027777777777777776,0.0,0.05555555555555555,0.0,0.0,0.0,1.3194444444444444,0.0763888888888889,21478.805555555555,619.8194444444445,1.0149427472073387,0.3361622383686938,0
67.149.208.218,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.101 Safari/537.36",54,0.18348781899229671,0.0,0.04814814814814815,2.2222222222222223,0.2962962962962963,0.07407407407407407,0.018518518518518517,0.0,0.05555555555555555,0.0,0.0,0.018518518518518517,1.3148148148148149,0.35185185185185186,32892.77777777778,59991.148148148146,0.8864615705166217,0.9547776073645672,0
67.149.222.6,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36",213,0.4053620644066262,0.0,0.04178403755868545,1.9107981220657277,0.29107981220657275,0.1596244131455399,0.028169014084507043,0.0,0.09859154929577464,0.0,0.0,0.0,0.863849765258216,0.14553990610328638,15591.164319248826,1186.3286384976525,1.0024772222333254,0.49758029081310245,0
67.149.229.37,"Mozilla/5.0 (Linux; Android 10; Mi 9T Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.210 Mobile Safari/537.36",105,0.6180902695811726,0.0,0.05047619047619048,2.1904761904761907,0.22857142857142856,0.13333333333333333,0.009523809523809525,0.0,0.08571428571428572,0.0,0.0,0.0,1.2476190476190476,0.17142857142857143,25737.55238095238,3496.9333333333334,0.9978915501133103,0.5452089023968218,0
67.149.229.47,"Mozilla/5.0 (Linux; Android 6.0; HTC U Play) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.101 Mobile Safari/537.36",75,0.6755155565817028,0.0,0.02666666666666667,1.9733333333333334,0.3466666666666667,0.10666666666666667,0.04,0.0,0.08,0.0,0.0,0.013333333333333334,0.7733333333333333,0.16,9534.346666666666,16496.893333333333,1.0077179642615761,0.5936601994680395,0
67.149.23.27,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Mobile/15E148 Safari/604.1",111,0.04587957350409733,0.0,0.014414414414414415,1.936936936936937,0.40540540540540543,0.10810810810810811,0.0,0.0,0.06306306306306306,0.0,0.04504504504504504,0.018018018018018018,0.9009009009009009,0.0990990990990991,11161.09009009009,3382.7837837837837,1.0086440488907955,0.4853294093135461,0
67.149.236.16,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.101 Safari/537.36",98,0.2135983565780581,0.0,0.015306122448979591,2.142857142857143,0.30612244897959184,0.08163265306122448,0.02040816326530612,0.0,0.061224489795918366,0.0,0.05102040816326531,0.0,1.6122448979591837,0.08163265306122448,35415.36734693877,4108.0,0.8924962451764785,0.4466015865031332,0
67.149.236.189,"Mozilla/5.0 (Linux; Android 10; SM-A307FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Mobile Safari/537.36",118,0.07849741250194309,0.0,0.007627118644067797,1.8898305084745763,0.3135593220338983,0.0847457627118644,0.05084745762711865,0.0,0.11864406779661017,0.0,0.0,0.0,1.3135593220338984,0.059322033898305086,29297.42372881356,326.8135593220339,1.145031276715159,0.2708761624945867,0
67.149.243.170,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G532F Build/MMB29T; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.4389.105 Mobile Safari/537.36 SamsungBrowser/CrossApp/0.1.89",117,0.3921334956649517,0.0,0.003418803418803419,1.9230769230769231,0.7692307692307693,0.03418803418803419,0.0,0.0,0.02564102564102564,0.0,0.0,0.008547008547008548,1.9914529914529915,0.03418803418803419,29187.871794871793,4798.931623931624,0.3078212226256219,0.2915956083707405,0
